方案序号,方案,特征,设定权重,随机森林重要性
1,时间主导,用户总借阅频次,0.05,0.08094624703449939
1,时间主导,图书总被借阅频次,0.1,0.031184826242910923
1,时间主导,时间衰减权重,0.45,0.7496129051479009
1,时间主导,题名TF-IDF均值,0.25,0.09458107280711806
1,时间主导,主题词TF-IDF均值,0.15,0.04367494876757077
2,均衡权重,用户总借阅频次,0.2,0.13094754397895772
2,均衡权重,图书总被借阅频次,0.2,0.08017941381897763
2,均衡权重,时间衰减权重,0.2,0.47167116977402157
2,均衡权重,题名TF-IDF均值,0.2,0.18478230549325328
2,均衡权重,主题词TF-IDF均值,0.2,0.13241956693478982
3,内容主导,用户总借阅频次,0.1,0.08561370535355306
3,内容主导,图书总被借阅频次,0.15,0.06783340359183801
3,内容主导,时间衰减权重,0.2,0.39703487046524966
3,内容主导,题名TF-IDF均值,0.3,0.29353131182872116
3,内容主导,主题词TF-IDF均值,0.25,0.1559867087606383
4,热度主导,用户总借阅频次,0.15,0.12229659944067031
4,热度主导,图书总被借阅频次,0.4,0.10359955211759801
4,热度主导,时间衰减权重,0.2,0.5592330140582976
4,热度主导,题名TF-IDF均值,0.15,0.1354287285986601
4,热度主导,主题词TF-IDF均值,0.1,0.07944210578477393
5,活跃度增强,用户总借阅频次,0.25,0.14324434137337386
5,活跃度增强,图书总被借阅频次,0.15,0.06390734102987758
5,活跃度增强,时间衰减权重,0.25,0.5730985409195788
5,活跃度增强,题名TF-IDF均值,0.2,0.13658057336809884
5,活跃度增强,主题词TF-IDF均值,0.15,0.08316920330907095
6,弱化时间,用户总借阅频次,0.1,0.08405121714553657
6,弱化时间,图书总被借阅频次,0.2,0.07884811139427947
6,弱化时间,时间衰减权重,0.15,0.27278031012127596
6,弱化时间,题名TF-IDF均值,0.3,0.37969900912235655
6,弱化时间,主题词TF-IDF均值,0.25,0.18462135221655146
