模型,Precision@10,Recall@10,F1@10,评估用户数
Hybrid-SVD-CF(alpha=0.0),0.0010000000000000002,0.0015527065527065527,0.001040770823379519,300
Hybrid-User-CF(alpha=0.0),0.0010000000000000002,0.002108262108262108,0.0010835058661145618,300
Hybrid-SVD-CF(alpha=0.1),0.0026666666666666666,0.004601851851851852,0.0031810991153096418,300
Hybrid-User-CF(alpha=0.1),0.0013333333333333335,0.005441595441595441,0.0016895664721751679,300
Hybrid-SVD-CF(alpha=0.2),0.0033333333333333335,0.012564814814814815,0.004597898690003954,300
Hybrid-User-CF(alpha=0.2),0.002666666666666667,0.012774928774928775,0.003568354350963047,300
Hybrid-SVD-CF(alpha=0.3),0.005,0.02067929292929293,0.007155432530432531,300
Hybrid-User-CF(alpha=0.3),0.004,0.01758974358974359,0.0055431631678771265,300
Hybrid-SVD-CF(alpha=0.4),0.007666666666666666,0.032068181818181815,0.011357341732341732,300
Hybrid-User-CF(alpha=0.4),0.007,0.027194444444444445,0.010142909235014498,300
Hybrid-SVD-CF(alpha=0.5),0.009333333333333332,0.03618855218855219,0.013563632030737294,300
Hybrid-User-CF(alpha=0.5),0.009,0.03562037037037037,0.013157234091444618,300
Hybrid-SVD-CF(alpha=0.6),0.008666666666666666,0.036327441077441076,0.01273094619805146,300
Hybrid-User-CF(alpha=0.6),0.008333333333333333,0.03432407407407407,0.012406318340528869,300
Hybrid-SVD-CF(alpha=0.7),0.009000000000000001,0.03447558922558922,0.012988583297793824,300
Hybrid-User-CF(alpha=0.7),0.008333333333333333,0.03599074074074073,0.012456823391033918,300
Hybrid-SVD-CF(alpha=0.8),0.008,0.03284259259259259,0.011916552258657523,300
Hybrid-User-CF(alpha=0.8),0.008333333333333333,0.03599074074074073,0.012456823391033918,300
Hybrid-SVD-CF(alpha=0.9),0.008,0.03284259259259259,0.011916552258657523,300
Hybrid-User-CF(alpha=0.9),0.009000000000000001,0.037808922558922556,0.013220712279922804,300
Hybrid-SVD-CF(alpha=1.0),0.008666666666666666,0.03202792416922852,0.012372554589659853,300
Hybrid-User-CF(alpha=1.0),0.008666666666666666,0.03202792416922852,0.012372554589659853,300
