USERID,BIRTHYEAR,SEX,DEPT,OCCUPATION,CODE01,REDR_TYPE_NAME
2606e5e3a758cea85bdab53a3531e8ed,1991.0,女,统计学院,统计学,2015,研究生
34383e16a67335177228a3d0260edc16,1999.0,男,统计学院,经济统计学,2017,本科生
ac809492e6114334472cd9356123f04c,1994.0,女,产业组织与企业组织研究中心,产业经济学,2018,研究生
58cf911eb42b602deb5fd5c4ef67da94,1997.0,女,国际商学院,金融学,2015,本科生
9f1721a34172d7bb5cb7baf8469830dd,1999.0,女,经济学院,经济学,2017,本科生
1c9f92e83d56b5aca6de1c97e45a124a,1998.0,男,萨里国际学院,工商管理(跨国公司),2017,本科生
1e33bbdd40381e7430527884fa90499b,1996.0,女,金融学院,金融,2018,研究生
f839cf6985ca4b807c103b4ad668b494,1994.0,女,高等职业技术学院,旅游管理,2017,本科生
012a42112744633ed85407a3b85a4215,1993.0,女,金融学院,金融硕士,2015,研究生
3c5e3b5db5e63443bde8e355b646be93,1994.0,女,高等职业技术学院,财务管理,2016,本科生
12b83afea3371afd49c7a5fa8e9e9819,1997.0,女,投资工程管理学院,房地产开发与管理,2014,本科生
c05d94ece700329e9fa28440e7c7495e,1996.0,女,萨里国际学院,工商管理(跨国公司),2014,本科生
705c01756e6888c65fc75304ad136830,1998.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2017,本科生
c117e66f9b56281bac9eef54ed754011,1996.0,男,财政税务学院,财政学,2015,本科生
9d9002229c0bfac72048596e77a0a8e4,1993.0,女,会计学院,资产评估硕士,2015,研究生
284a948010f275d23e756fe19e2a36f2,1994.0,女,高等职业技术学院,财务管理,2015,本科生
9ff19297377769c463bf47f7ac9526f2,1990.0,女,财政税务学院,税务硕士,2015,研究生
079bef9f050f94f72bfc54ce4e13465a,1992.0,女,会计学院,金融学(证券期货方向),2015,研究生
669d0783d98d07c628c82dc7c582d0bb,1998.0,男,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2017,本科生
0e468293e53aa964a4636d9bd7ae0abf,1995.0,女,国际商务外语学院,商务英语,2013,本科生
228ebf1396fe9590daa7650565d0489a,1995.0,女,公共管理学院,劳动与社会保障,2013,本科生
f1dbaf9d9750f21407a6c5eaaea954b9,1996.0,男,国际经济贸易学院,国际经济与贸易,2014,本科生
a550db1f8da3bac2a2159095449f36ec,1993.0,男,财政税务学院,税务,2016,研究生
bda2faf6f509f2a95fe2c38b725d78e4,1998.0,女,统计学院,经济统计学,2015,本科生
e059f487502819f25536affe1f0e9b44,1999.0,女,管理科学与工程学院,管理科学与工程类(含管理科学、信息管理与信息系统和电子商务),2016,本科生
31c73b576ea4794a7cff946b192176b3,1999.0,女,国际商学院,会计学(国际商学院专业),2017,本科生
4076e70635669c48c1d8701ef06ab408,1994.0,女,国际商学院,金融硕士,2016,研究生
2bc549ac3401594928ee16bd6ab35586,1994.0,女,萨里国际学院,工商管理(跨国公司),2013,本科生
436d24aefb55c83cc564aad991d1e8db,1995.0,女,人文与传播学院,汉语言文学,2013,本科生
cc1946cab10334e532b8a033d614f765,1996.0,男,国际商学院,金融学,2014,本科生
7ecd1e6e07d4ace884c236216be09d90,1996.0,女,财政税务学院,财政学,2014,本科生
a0e59bb7603d096e97659d430b031c6d,1989.0,男,金融学院,金融硕士,2015,研究生
782bd965097295675539643920f057e3,1994.0,女,统计学院,应用统计,2017,研究生
eeb55843c37a322f0874c79519599745,1995.0,女,管理科学与工程学院,信息管理与信息系统,2014,本科生
8288abe48a42b8c77a50a747b7c2943a,1999.0,女,萨里国际学院,工商管理(萨里国际学院专业),2018,本科生
12fdef75f5f4fb90b89fc1a2942552a5,1998.0,男,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2016,本科生
7fe5d4c9847e525d43778ed8565f7875,1995.0,女,会计学院,会计学(注册会计师方向),2014,本科生
56010246acab72e4be225e79a676c21c,1996.0,女,公共管理学院,行政管理,2014,本科生
6e5709dad1e60a6db574cd03fd35c6a5,1997.0,女,投资工程管理学院,房地产开发与管理,2015,本科生
99e92b601fc346734277c055d2e44343,1999.0,女,数据科学与人工智能学院,统计学,2018,本科生
41c2014a2779b3eef84ed5eb414ce100,1996.0,男,国际商务外语学院,日语,2015,本科生
cc1571e0dc2d6c340b208250a030b4f1,1998.0,女,国际商务外语学院,英语笔译,2020,研究生
28593d5798fecba9d1ddaabaaf9032dd,2001.0,女,数据科学与人工智能学院,金融数学,2019,本科生
ab55fcf56874f3c81d96433a452d0fa8,1996.0,女,高等职业技术学院,财务管理,2018,本科生
69d1f121bc9b656646fb9f69b52b1065,1994.0,女,公共管理学院,国民经济学,2019,研究生
1469a9f7ea395a7db9f212d9775fcec4,2002.0,男,萨里国际学院,工商管理(萨里国际学院专业),2020,本科生
a54d77cd1bcbe4958e5e7a9087d72acd,1998.0,女,公共管理学院,社会学,2016,本科生
cfc4a81eb69783c82e62ad9222216e75,2001.0,女,会计学院,会计学(国际会计方向),2020,本科生
c4dba9eed22e48ee0025a26d33893479,2001.0,女,应用金融与行为科学学院,金融学(量化金融实验),2019,本科生
74c838e20400b5fef84ff050dbe8a6bd,2000.0,女,数据科学与人工智能学院,金融数学,2019,本科生
c193fc3a4f7cfc7e64592576c3b6f730,2000.0,女,统计学院,应用统计学,2018,本科生
34280f02ea8ff3a3058ae4635645bfdb,1998.0,女,高等职业技术学院,财务管理,2020,本科生
ea20061122e81c2892baef1c0250e4f3,1996.0,女,法学院,法律(法学),2019,研究生
b857d88a02ac27bc59c5f41ed7bc7a97,1996.0,女,统计学院,经济统计学,2019,研究生
c9b97b79bc20790372827535957b41ec,1998.0,女,经济学院,产业经济学,2020,研究生
25d8acdbecce735e1fba8f2f5f3ef1b3,1994.0,男,金融学院,金融,2017,研究生
f33df78811354fdd89cbc1e1d601b176,1999.0,女,金融学院,金融学类(含金融学、金融工程、保险学和投资学),2018,本科生
fb5ec28c7e19b628612d91acfd1994a7,2000.0,男,管理科学与工程学院,电子商务,2018,本科生
ff2d0f8f2c4fe6133ef5468f8b7413f2,1998.0,男,工商管理学院,工商管理类(含工商管理、市场营销、人力资源管理和物流管理),2016,本科生
dac836dd752d3797305d9efae9193db6,2000.0,男,萨里国际学院,旅游管理(萨里国际学院专业),2020,本科生
07f8b17677f26313664053095092ecc2,1979.0,男,发展规划与学科建设处,,2002,教师
cb984d35526c9688e929edff64df83d9,1999.0,女,管理科学与工程学院,管理科学与工程类(含管理科学、信息管理与信息系统和大数据管理与应用),2019,本科生
f0ac0e81ffd79f685e8b8dfcae4989c0,2001.0,女,国际商学院,财务管理,2019,本科生
e66402aa2ac65213913a01e898645c58,1999.0,女,人文与传播学院,新闻学,2018,本科生
da424572115179080acdb1a25b787bac,2002.0,男,会计学院,会计学(国际会计方向),2020,本科生
cdf0d1a5b817d8b29233d6aee2f85c48,2001.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
00d2f27f89e9820ae1f0c1e0e6043ad6,1999.0,女,财政税务学院,财政学类(含财政学和税收学),2018,本科生
b9be317cf041e0ce6a1da513adaa2370,2000.0,女,财政税务学院,财政学类(含财政学和税收学),2018,本科生
ce3fa77ccfe78be2ff7d8002c58f42c8,2001.0,女,财政税务学院,财政学类(含财政学和税收学),2019,本科生
cf798862389bd8d5bdf326f1551316cf,2002.0,女,工商管理学院,工商管理类(含工商管理、市场营销和人力资源管理),2020,本科生
e30a5162d57ab78b27d3f275aeba9f0a,1996.0,女,国际经济贸易学院,国际商务,2018,研究生
002c209866808957511a8e2617ffdddb,2001.0,女,萨里国际学院,工商管理(萨里国际学院专业),2019,本科生
c99c6db729970ddc256db1ef9d9aade0,1999.0,女,国际商学院,会计学(与澳大利亚科廷大学合作办学项目),2017,本科生
27bae9f41fa0beec51f0ac3bb535bff8,1999.0,女,金融学院,保险,2020,研究生
8c6c8edc13267f55a06b1583d2921400,1996.0,男,金融学院,金融,2020,研究生
fd420dcb46cfc949cce9337f4f2bfc7d,2002.0,男,管理科学与工程学院,电子商务,2020,本科生
9ef4c4c4c74527b67127740d5dcbe808,1993.0,女,公共管理学院,行政管理,2019,研究生
6e9216e6047b6abd09d1531afa77dc34,1996.0,男,金融学院,保险学,2020,研究生
24d6778d43a52172ee86499f5b3d591d,1998.0,男,萨里国际学院,工商管理(跨国公司),2016,本科生
9c7006ae43be06b39301dbf19b8ff1d7,1987.0,女,投资工程管理学院,工程管理,2018,研究生
